Date,Ticker,Close,Return,MarketCap,Sector
01-07-2020,3MINDIA,18605.4,0,21028,SERVICES
01-07-2020,ABB,954.3,0,500,INDUSTRIAL MANUFACTURING
01-07-2020,ACC,1325.95,0,24944,CEMENT & CEMENT PRODUCTS
01-07-2020,AIAENG,1586.95,0,15436,INDUSTRIAL MANUFACTURING
01-07-2020,APLAPOLLO,1620.1,0,4387,METALS
01-07-2020,AUBANK,558.5,0,17626,FINANCIAL SERVICES
01-07-2020,AARTIIND,926.3,0,16151,CHEMICALS
01-07-2020,AAVAS,1315.45,0,10209,FINANCIAL SERVICES
01-07-2020,ABBOTINDIA,15755.95,0,33577,PHARMA
01-07-2020,ADANIGAS,159.15,0,18015,OIL & GAS
01-07-2020,ADANIGREEN,340.95,0,55960,POWER
01-07-2020,ADANIPORTS,343.8,0,70471,SERVICES
01-07-2020,ADANIPOWER,35.9,0,13827,POWER
01-07-2020,ADANITRANS,264,0,29189,POWER
01-07-2020,ABCAPITAL,64.3,0,16294,FINANCIAL SERVICES
01-07-2020,ABFRL,123.8,0,9504,CONSUMER GOODS
01-07-2020,ADVENZYMES,172.5,0,500,CONSUMER GOODS
01-07-2020,AEGISCHEM,174.75,0,5812,OIL & GAS
01-07-2020,AFFLE,1450.8,0,3700,IT
01-07-2020,AJANTPHARM,1430.1,0,500,PHARMA
01-07-2020,AKZOINDIA,1808.8,0,8199,CONSUMER GOODS
01-07-2020,APLLTD,906.2,0,16975,PHARMA
01-07-2020,ALKEM,2352.15,0,28098,PHARMA
01-07-2020,ALKYLAMINE,2166.25,0,500,CHEMICALS
01-07-2020,ALLCARGO,80.2,0,2001,SERVICES
01-07-2020,AMARAJABAT,660.6,0,11685,AUTOMOBILE
01-07-2020,AMBER,1442.2,0,4530,CONSUMER GOODS
01-07-2020,AMBUJACEM,192.2,0,38462,CEMENT & CEMENT PRODUCTS
01-07-2020,APOLLOHOSP,1319.65,0,18949,HEALTHCARE SERVICES
01-07-2020,APOLLOTYRE,109.75,0,6338,AUTOMOBILE
01-07-2020,ARVINDFASN,160.7,0,1557,CONSUMER GOODS
01-07-2020,ASAHIINDIA,175.4,0,4263,AUTOMOBILE
01-07-2020,ASHOKLEY,48.2,0,14413,AUTOMOBILE
01-07-2020,ASHOKA,62.4,0,1762,CONSTRUCTION
01-07-2020,ASIANPAINT,1688,0,161788,CONSUMER GOODS
01-07-2020,ASTERDM,121.95,0,6054,HEALTHCARE SERVICES
01-07-2020,ASTRAZEN,3552.4,0,500,PHARMA
01-07-2020,ASTRAL,955.35,0,14768,INDUSTRIAL MANUFACTURING
01-07-2020,ATUL,4509.4,0,13381,CHEMICALS
01-07-2020,AUROPHARMA,775.75,0,45686,PHARMA
01-07-2020,AVANTIFEED,495.8,0,6776,CONSUMER GOODS
01-07-2020,DMART,2289.35,0,148693,CONSUMER GOODS
01-07-2020,AXISBANK,433.25,0,119527,FINANCIAL SERVICES
01-07-2020,BASF,1181.1,0,5352,CHEMICALS
01-07-2020,BEML,630.65,0,2666,INDUSTRIAL MANUFACTURING
01-07-2020,BSE,471.85,0,2132,FINANCIAL SERVICES
01-07-2020,BAJAJ-AUTO,2842.05,0,83012,AUTOMOBILE
01-07-2020,BAJAJCON,146.9,0,2162,CONSUMER GOODS
01-07-2020,BAJAJELEC,389.7,0,500,CONSUMER GOODS
01-07-2020,BAJFINANCE,2953.9,0,178641,FINANCIAL SERVICES
01-07-2020,BAJAJFINSV,6169.35,0,98622,FINANCIAL SERVICES
01-07-2020,BAJAJHLDNG,2570.15,0,28789,FINANCIAL SERVICES
01-07-2020,BALKRISIND,1269.85,0,24701,AUTOMOBILE
01-07-2020,BALMLAWRIE,112.5,0,500,INDUSTRIAL MANUFACTURING
01-07-2020,BALRAMCHIN,133.55,0,2892,CONSUMER GOODS
01-07-2020,BANDHANBNK,325.85,0,55732,FINANCIAL SERVICES
01-07-2020,BANKBARODA,51.4,0,23773,FINANCIAL SERVICES
01-07-2020,BANKINDIA,50.15,0,16352,FINANCIAL SERVICES
01-07-2020,MAHABANK,11.1,0,500,FINANCIAL SERVICES
01-07-2020,BATAINDIA,1285,0,16481,CONSUMER GOODS
01-07-2020,BAYERCROP,5980.25,0,27811,FERTILISERS & PESTICIDES
01-07-2020,BERGEPAINT,494.3,0,47905,CONSUMER GOODS
01-07-2020,BDL,318.3,0,6120,INDUSTRIAL MANUFACTURING
01-07-2020,BEL,88.7,0,21686,INDUSTRIAL MANUFACTURING
01-07-2020,BHARATFORG,337.35,0,15569,INDUSTRIAL MANUFACTURING
01-07-2020,BHEL,36.05,0,12779,INDUSTRIAL MANUFACTURING
01-07-2020,BPCL,380.15,0,83213,OIL & GAS
01-07-2020,BHARATRAS,7530.05,0,500,FERTILISERS & PESTICIDES
01-07-2020,BHARTIARTL,560.15,0,304693,TELECOM
01-07-2020,INFRATEL,218.65,0,41126,TELECOM
01-07-2020,BIOCON,388.45,0,47028,PHARMA
01-07-2020,BIRLACORPN,580.85,0,4623,CEMENT & CEMENT PRODUCTS
01-07-2020,BSOFT,87.75,0,2513,IT
01-07-2020,BLISSGVS,96.85,0,1014,PHARMA
01-07-2020,BLUEDART,2009.4,0,4774,SERVICES
01-07-2020,BLUESTARCO,496.9,0,4817,CONSUMER GOODS
01-07-2020,BOMDYEING,72.4,0,500,CONSTRUCTION
01-07-2020,BOSCHLTD,11289.45,0,35134,AUTOMOBILE
01-07-2020,BRIGADE,136.2,0,2688,CONSTRUCTION
01-07-2020,BRITANNIA,3545.95,0,85080,CONSUMER GOODS
