Date,Ticker,Close,Return,MarketCap,Sector
01-06-2020,3MINDIA,18057,0,21028,SERVICES
01-06-2020,ABB,821.4,0,500,INDUSTRIAL MANUFACTURING
01-06-2020,ACC,1283.75,0,24944,CEMENT & CEMENT PRODUCTS
01-06-2020,AIAENG,1724.25,0,15436,INDUSTRIAL MANUFACTURING
01-06-2020,APLAPOLLO,1555.35,0,4387,METALS
01-06-2020,AUBANK,410.05,0,17626,FINANCIAL SERVICES
01-06-2020,AARTIIND,982.75,0,16151,CHEMICALS
01-06-2020,AAVAS,1063.05,0,10209,FINANCIAL SERVICES
01-06-2020,ABBOTINDIA,16825.6,0,33577,PHARMA
01-06-2020,ADANIGAS,117.3,0,18015,OIL & GAS
01-06-2020,ADANIGREEN,260.75,0,55960,POWER
01-06-2020,ADANIPORTS,329.35,0,70471,SERVICES
01-06-2020,ADANIPOWER,39.55,0,13827,POWER
01-06-2020,ADANITRANS,180.3,0,29189,POWER
01-06-2020,ABCAPITAL,46.8,0,16294,FINANCIAL SERVICES
01-06-2020,ABFRL,130.6,0,9504,CONSUMER GOODS
01-06-2020,ADVENZYMES,149.9,0,500,CONSUMER GOODS
01-06-2020,AEGISCHEM,171.9,0,5812,OIL & GAS
01-06-2020,AFFLE,1538.3,0,3700,IT
01-06-2020,AJANTPHARM,1449,0,500,PHARMA
01-06-2020,AKZOINDIA,1911.8,0,8199,CONSUMER GOODS
01-06-2020,APLLTD,851.6,0,16975,PHARMA
01-06-2020,ALKEM,2282.05,0,28098,PHARMA
01-06-2020,ALKYLAMINE,2015.5,0,500,CHEMICALS
01-06-2020,ALLCARGO,71.95,0,2001,SERVICES
01-06-2020,AMARAJABAT,652.4,0,11685,AUTOMOBILE
01-06-2020,AMBER,1338.55,0,4530,CONSUMER GOODS
01-06-2020,AMBUJACEM,188.95,0,38462,CEMENT & CEMENT PRODUCTS
01-06-2020,APOLLOHOSP,1373.3,0,18949,HEALTHCARE SERVICES
01-06-2020,APOLLOTYRE,104.75,0,6338,AUTOMOBILE
01-06-2020,ARVINDFASN,137.9,0,1557,CONSUMER GOODS
01-06-2020,ASAHIINDIA,165.9,0,4263,AUTOMOBILE
01-06-2020,ASHOKLEY,46.4,0,14413,AUTOMOBILE
01-06-2020,ASHOKA,51.75,0,1762,CONSTRUCTION
01-06-2020,ASIANPAINT,1693.25,0,161788,CONSUMER GOODS
01-06-2020,ASTERDM,90.8,0,6054,HEALTHCARE SERVICES
01-06-2020,ASTRAZEN,3089.6,0,500,PHARMA
01-06-2020,ASTRAL,929.7,0,14768,INDUSTRIAL MANUFACTURING
01-06-2020,ATUL,4701.75,0,13381,CHEMICALS
01-06-2020,AUROPHARMA,725.65,0,45686,PHARMA
01-06-2020,AVANTIFEED,440.65,0,6776,CONSUMER GOODS
01-06-2020,DMART,2305.5,0,148693,CONSUMER GOODS
01-06-2020,AXISBANK,396.95,0,119527,FINANCIAL SERVICES
01-06-2020,BASF,1107.4,0,5352,CHEMICALS
01-06-2020,BEML,595.85,0,2666,INDUSTRIAL MANUFACTURING
01-06-2020,BSE,385.85,0,2132,FINANCIAL SERVICES
01-06-2020,BAJAJ-AUTO,2758.3,0,83012,AUTOMOBILE
01-06-2020,BAJAJCON,145.75,0,2162,CONSUMER GOODS
01-06-2020,BAJAJELEC,377.15,0,500,CONSUMER GOODS
