Date,Ticker,Sector,Close,Return
01-06-2020,ADANIPORTS,SERVICES,329.35,0
01-06-2020,ASIANPAINT,CONSUMER GOODS,1693.25,0
01-06-2020,AXISBANK,FINANCIAL SERVICES,396.95,0
01-06-2020,BAJAJ-AUTO,AUTOMOBILE,2758.3,0
01-06-2020,BAJAJFINSV,FINANCIAL SERVICES,4763.2,0
01-06-2020,BAJFINANCE,FINANCIAL SERVICES,2160.85,0
01-06-2020,BHARTIARTL,TELECOM,559.05,0
01-06-2020,BPCL,OIL & GAS,346.3,0
01-06-2020,BRITANNIA,CONSUMER GOODS,3434.85,0
01-06-2020,CIPLA,PHARMA,642.5,0
01-06-2020,COALINDIA,METALS,148.55,0
01-06-2020,DRREDDY,PHARMA,3953.55,0
01-06-2020,EICHERMOT,AUTOMOBILE,16985.75,0
01-06-2020,GAIL,OIL & GAS,91.95,0
01-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,583.5,0
01-06-2020,HCLTECH,IT,559.75,0
01-06-2020,HDFC,FINANCIAL SERVICES,1737.7,0
01-06-2020,HDFCBANK,FINANCIAL SERVICES,987.65,0
01-06-2020,HEROMOTOCO,AUTOMOBILE,2326.3,0
01-06-2020,HINDALCO,METALS,139.15,0
01-06-2020,HINDUNILVR,CONSUMER GOODS,2108.55,0
01-06-2020,ICICIBANK,FINANCIAL SERVICES,339.25,0
01-06-2020,INDUSINDBK,FINANCIAL SERVICES,410.1,0
01-06-2020,INFRATEL,TELECOM,224.25,0
01-06-2020,INFY,IT,699.55,0
01-06-2020,IOC,OIL & GAS,86.15,0
01-06-2020,ITC,CONSUMER GOODS,200.55,0
01-06-2020,JSWSTEEL,METALS,193.95,0
01-06-2020,KOTAKBANK,FINANCIAL SERVICES,1248.4,0
01-06-2020,LT,CONSTRUCTION,928.15,0
01-06-2020,M&M,AUTOMOBILE,461.1,0
01-06-2020,MARUTI,AUTOMOBILE,5793.6,0
01-06-2020,NESTLEIND,CONSUMER GOODS,17183.45,0
01-06-2020,NTPC,POWER,97.9,0
01-06-2020,ONGC,OIL & GAS,83.95,0
01-06-2020,POWERGRID,POWER,158.85,0
01-06-2020,RELIANCE,OIL & GAS,1520.35,0
01-06-2020,SBIN,FINANCIAL SERVICES,170.05,0
01-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21069.35,0
01-06-2020,SUNPHARMA,PHARMA,465.4,0
01-06-2020,TATAMOTORS,AUTOMOBILE,89.55,0
01-06-2020,TATASTEEL,METALS,315.2,0
01-06-2020,TCS,IT,2045.25,0
01-06-2020,TECHM,IT,543.55,0
01-06-2020,TITAN,CONSUMER GOODS,958.9,0
01-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3815.7,0
01-06-2020,UPL,FERTILISERS & PESTICIDES,419.3,0
01-06-2020,VEDL,METALS,93.65,0
01-06-2020,WIPRO,IT,215.05,0
01-06-2020,ZEEL,MEDIA & ENTERTAINMENT,185.9,0
02-06-2020,ADANIPORTS,SERVICES,339.95,3.218460604
02-06-2020,ASIANPAINT,CONSUMER GOODS,1709.3,0.947881293
02-06-2020,AXISBANK,FINANCIAL SERVICES,410.1,3.312759793
02-06-2020,BAJAJ-AUTO,AUTOMOBILE,2796.1,1.37040931
02-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5184.7,8.849093047
02-06-2020,BAJFINANCE,FINANCIAL SERVICES,2346.2,8.577643057
02-06-2020,BHARTIARTL,TELECOM,558.1,-0.169931133
02-06-2020,BPCL,OIL & GAS,341.6,-1.357204736
02-06-2020,BRITANNIA,CONSUMER GOODS,3451,0.470180648
02-06-2020,CIPLA,PHARMA,637.6,-0.762645914
02-06-2020,COALINDIA,METALS,143.4,-3.46684618
02-06-2020,DRREDDY,PHARMA,3895.3,-1.473359386
02-06-2020,EICHERMOT,AUTOMOBILE,17396.25,2.416731672
02-06-2020,GAIL,OIL & GAS,96.55,5.002718869
02-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,596.35,2.202227935
02-06-2020,HCLTECH,IT,560.2,0.080393033
02-06-2020,HDFC,FINANCIAL SERVICES,1813.55,4.364965184
02-06-2020,HDFCBANK,FINANCIAL SERVICES,1001,1.351693414
02-06-2020,HEROMOTOCO,AUTOMOBILE,2318.25,-0.346043073
02-06-2020,HINDALCO,METALS,141.15,1.43729788
02-06-2020,HINDUNILVR,CONSUMER GOODS,2107.4,-0.05453985
02-06-2020,ICICIBANK,FINANCIAL SERVICES,348.4,2.697126013
02-06-2020,INDUSINDBK,FINANCIAL SERVICES,434.7,5.998536942
02-06-2020,INFRATEL,TELECOM,223.25,-0.445930881
02-06-2020,INFY,IT,708.1,1.222214281
02-06-2020,IOC,OIL & GAS,85.8,-0.406268137
02-06-2020,ITC,CONSUMER GOODS,197.25,-1.645474944
02-06-2020,JSWSTEEL,METALS,192.15,-0.928074246
02-06-2020,KOTAKBANK,FINANCIAL SERVICES,1342.9,7.569689202
02-06-2020,LT,CONSTRUCTION,945.45,1.863922857
02-06-2020,M&M,AUTOMOBILE,462.85,0.379527218
02-06-2020,MARUTI,AUTOMOBILE,5690.1,-1.786454018
02-06-2020,NESTLEIND,CONSUMER GOODS,17014.45,-0.983504477
02-06-2020,NTPC,POWER,96.75,-1.174668029
02-06-2020,ONGC,OIL & GAS,84.3,0.41691483
02-06-2020,POWERGRID,POWER,165.05,3.903053195
02-06-2020,RELIANCE,OIL & GAS,1535.7,1.009635939
02-06-2020,SBIN,FINANCIAL SERVICES,170.25,0.117612467
02-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21201,0.624841298
02-06-2020,SUNPHARMA,PHARMA,473.1,1.654490761
02-06-2020,TATAMOTORS,AUTOMOBILE,96.5,7.761027359
02-06-2020,TATASTEEL,METALS,319.4,1.33248731
02-06-2020,TCS,IT,2047.15,0.092898179
02-06-2020,TECHM,IT,547.5,0.726704075
02-06-2020,TITAN,CONSUMER GOODS,976.15,1.798936281
02-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3834.25,0.48614933
02-06-2020,UPL,FERTILISERS & PESTICIDES,424.7,1.28786072
02-06-2020,VEDL,METALS,96.9,3.470368393
02-06-2020,WIPRO,IT,215.85,0.37200651
02-06-2020,ZEEL,MEDIA & ENTERTAINMENT,198.95,7.019903174
03-06-2020,ADANIPORTS,SERVICES,339.55,3.097009261
03-06-2020,ASIANPAINT,CONSUMER GOODS,1716.55,1.376051971
