Date,Ticker,Close,Return,MarketCap,Sector
01-09-2020,3MINDIA,19959,0,21028,SERVICES
01-09-2020,ABB,945.6,0,500,INDUSTRIAL MANUFACTURING
01-09-2020,ACC,1338.65,0,24944,CEMENT & CEMENT PRODUCTS
01-09-2020,AIAENG,1830.65,0,15436,INDUSTRIAL MANUFACTURING
01-09-2020,APLAPOLLO,2399.3,0,4387,METALS
01-09-2020,AUBANK,701,0,17626,FINANCIAL SERVICES
01-09-2020,AARTIIND,1047.05,0,16151,CHEMICALS
01-09-2020,AAVAS,1473.25,0,10209,FINANCIAL SERVICES
01-09-2020,ABBOTINDIA,16402.75,0,33577,PHARMA
01-09-2020,ADANIGAS,177.2,0,18015,OIL & GAS
01-09-2020,ADANIGREEN,494.65,0,55960,POWER
01-09-2020,ADANIPORTS,348.8,0,70471,SERVICES
01-09-2020,ADANIPOWER,38.8,0,13827,POWER
01-09-2020,ADANITRANS,263.5,0,29189,POWER
01-09-2020,ABCAPITAL,61.3,0,16294,FINANCIAL SERVICES
01-09-2020,ABFRL,134.35,0,9504,CONSUMER GOODS
01-09-2020,ADVENZYMES,214.4,0,500,CONSUMER GOODS
01-09-2020,AEGISCHEM,212.75,0,5812,OIL & GAS
01-09-2020,AFFLE,2652.25,0,3700,IT
01-09-2020,AJANTPHARM,1454.8,0,500,PHARMA
01-09-2020,AKZOINDIA,2100,0,8199,CONSUMER GOODS
01-09-2020,APLLTD,918.45,0,16975,PHARMA
01-09-2020,ALKEM,2805.95,0,28098,PHARMA
01-09-2020,ALKYLAMINE,3165.75,0,500,CHEMICALS
01-09-2020,ALLCARGO,115.05,0,2001,SERVICES
01-09-2020,AMARAJABAT,734.75,0,11685,AUTOMOBILE
01-09-2020,AMBER,1790.75,0,4530,CONSUMER GOODS
01-09-2020,AMBUJACEM,213,0,38462,CEMENT & CEMENT PRODUCTS
01-09-2020,APOLLOHOSP,1670.85,0,18949,HEALTHCARE SERVICES
01-09-2020,APOLLOTYRE,122.45,0,6338,AUTOMOBILE
01-09-2020,ARVINDFASN,141.3,0,1557,CONSUMER GOODS
01-09-2020,ASAHIINDIA,206.6,0,4263,AUTOMOBILE
01-09-2020,ASHOKLEY,68.8,0,14413,AUTOMOBILE
01-09-2020,ASHOKA,68.7,0,1762,CONSTRUCTION
01-09-2020,ASIANPAINT,1979.3,0,161788,CONSUMER GOODS
01-09-2020,ASTERDM,127.45,0,6054,HEALTHCARE SERVICES
01-09-2020,ASTRAZEN,3589.45,0,500,PHARMA
01-09-2020,ASTRAL,1112.5,0,14768,INDUSTRIAL MANUFACTURING
01-09-2020,ATUL,5949.7,0,13381,CHEMICALS
01-09-2020,AUROPHARMA,816.95,0,45686,PHARMA
01-09-2020,AVANTIFEED,513.7,0,6776,CONSUMER GOODS
01-09-2020,DMART,2241.6,0,148693,CONSUMER GOODS
01-09-2020,AXISBANK,485.7,0,119527,FINANCIAL SERVICES
01-09-2020,BASF,1477.45,0,5352,CHEMICALS
01-09-2020,BEML,692.1,0,2666,INDUSTRIAL MANUFACTURING
01-09-2020,BSE,504.1,0,2132,FINANCIAL SERVICES
